label,NP1501*,NP1502*,NP1503*,NP1508*,NP1510*,NP1514*,NP1516*,NP1517*,NP1518*,NP1520*,NP1521*,NP1522*,NP1524*,NP1525*,NP1527*,NP3706*,NP3715*,X32*,X41*,X155*,X200*,X201*,X202*,X211*,X213*,X215*,X217*,X220*,X221*,X223*,X233*,X271*
X212,0.35,0.25,0.08,0.14,0.15,0.19,0.19,0.21,0.81,-0.26,0.39,0.29,0.95,0.09,-0.37,0.22,0.96,0.82,0.94,0.96,0.28,0.02,0.84,-0.37,0.96,0.27,0.93,0.36,0.2,0.96,0.92,0.21
X213,0.56,0.23,0.17,0.32,0.25,0.38,0.49,0.42,0.8,0.19,0.64,0.37,0.96,0.23,-0.11,0.24,0.96,0.73,0.95,0.96,0.4,0.31,0.83,-0.18,0.95,0.5,0.93,0.4,0.21,0.95,0.94,0.18
X215,0.44,0.23,0.16,0.17,0.2,0.43,0.58,0.4,0.2,-0.01,0.69,0.34,0.23,0.14,0.13,0.1,0.24,0.02,0.48,0.09,0.47,0.17,0.6,-0.16,0.16,0.67,0.27,0.21,0.24,-0.01,0.12,-0.06
X217,0.56,0.31,0.31,0.32,0.36,0.5,0.62,0.45,0.82,0.16,0.72,0.42,0.96,0.28,0.48,0.44,0.96,0.62,0.96,0.96,0.54,0.35,0.83,0.2,0.91,0.52,0.93,0.29,0.26,0.88,0.92,0.12
X218,0.61,0.32,0.19,0.19,0.26,0.49,0.58,0.41,0.46,0.04,0.64,0.34,0.65,0.21,0.33,0.34,0.6,0.53,0.75,0.38,0.46,0.42,0.72,-0.02,0.37,0.58,0.59,0.16,0.18,0.13,0.62,-0.03
X220,0.53,0.35,0.29,0.3,0.32,0.59,0.59,0.47,0.15,0.18,0.64,0.37,0.49,0.24,0.57,0.19,0.46,0.08,0.63,0.28,0.47,0.13,0.7,0.25,0.28,0.49,0.46,0.9,0.23,0.15,0.38,0.02
X221,0.41,0.68,0.85,0.89,0.85,0.48,0.42,0.46,0.17,0.76,0.55,0.88,0.28,0.87,0.05,0.2,0.26,0.14,0.43,0.11,0.88,0.82,0.57,-0.26,0.15,0.46,0.25,0.22,0.8,0.09,0.23,0.81
X223,0.36,0.26,0.26,0.28,0.34,0.3,0.35,0.24,0.83,-0.11,0.5,0.43,0.96,0.27,-0.14,0.26,0.96,0.83,0.94,0.94,0.5,0.53,0.89,-0.19,0.96,0.41,0.93,0.49,0.39,0.96,0.94,0.34
X224,0.18,0.12,0.25,0.31,0.3,0.21,0.2,0.21,0.8,0.18,0.48,0.42,0.95,0.26,-0.43,0.2,0.96,0.8,0.95,0.93,0.47,0.41,0.84,-0.37,0.95,0.36,0.9,0.41,0.35,0.96,0.92,0.35
X233,0.42,0.16,0.14,0.19,0.24,0.33,0.34,0.25,0.66,-0.17,0.6,0.3,0.91,0.16,0.54,0.32,0.89,0.69,0.92,0.83,0.44,0.38,0.74,0.2,0.71,0.3,0.86,0.22,0.17,0.65,0.91,0.11
X271,0.55,0.65,0.94,0.96,0.94,0.5,0.6,0.52,0.18,0.89,0.63,0.95,0.37,0.95,0.43,0.13,0.34,0.08,0.54,0.13,0.93,0.91,0.68,0.09,0.25,0.48,0.37,0.21,0.89,0.04,0.34,0.92
X275,0.6,0.46,0.45,0.51,0.49,0.48,0.67,0.36,0.06,0.29,0.65,0.57,0.34,0.41,0.64,0.18,0.33,-0.01,0.5,0.14,0.69,0.08,0.61,0.27,0.19,0.39,0.27,0.1,0.48,0,0.1,0.44
